what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271969116811
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271969117460
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271969118061
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271969119184
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271969119971
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271969144452
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1271969146634
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271969155065
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271969155177
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271969160268
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.rename",1271969166226
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271969166251
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271969171322
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271969172046
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271969177514
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271969178246
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271969178911
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271969180099
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271969185730
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271969226755
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1271969230596
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1271969236943
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1271969237276
started,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1271969237463
