what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1272480961740
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272481001810
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272481037169
started,bundle,org.jboss.tools.jmx.ui,1.1.0.v201003050540R-H56-GA,"org.jboss.tools.jmx.ui",1272481037315
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1272481037445
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1272481037650
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1272481040129
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1272481045407
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1272481048308
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272481052664
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272481053024
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1272481053109
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272481056466
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272481068223
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1272481068384
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1272481068508
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1272481077016
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1272481080633
executed,command,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1272481082501
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1272481083240
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1272481085300
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1272481085300
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1272481086422
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1272481087915
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1272481090421
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1272481092372
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1272481093691
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1272481096909
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1272481097504
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272481097903
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1272481105895
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272481105920
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1272481109141
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1272481109297
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1272481119245
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1272481120906
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1272481122998
executed,command,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1272481124045
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1272481126381
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1272481128735
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1272481128735
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1272481133746
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1272481137573
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1272481146516
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1272481150939
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1272481152269
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272481156701
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272481157598
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1272481167684
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1272481173174
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1272481185981
activated,editor,org.jboss.tools.jst.jsp,3.1.0.v201003050540R-H56-GA,"org.jboss.tools.jst.jsp.jspeditor.HTMLTextEditor",1272481187819
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1272481190518
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1272481192160
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1272481214105
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1272481216770
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1272481221585
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272481224166
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272481226149
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272481234624
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272481249776
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272481251134
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272481254419
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272481255281
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272481257183
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272481259060
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272481261506
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272481265228
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272481267087
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1272481268298
executed,command,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.debug",1272481271400
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272481273875
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1272481278735
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272481293903
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272481295539
